///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: ECIDsFromHostLog.txt
// SoftRev: 1.80a1-002
// Date: Tue Sep 22 22:41:48 2020
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
ECID : $01080351 : 17302353 : RC1AutoCleaningTriggerType : 
ECID : $01080352 : 17302354 : RC2AutoCleaningTriggerType : 
ECID : $01080353 : 17302355 : RC3AutoCleaningTriggerType : 
ECID : $01080354 : 17302356 : RC4AutoCleaningTriggerType : 
ECID : $01080361 : 17302369 : RC1AutoCleaningCountingPro : 
ECID : $01080362 : 17302370 : RC2AutoCleaningCountingPro : 
ECID : $01080363 : 17302371 : RC3AutoCleaningCountingPro : 
ECID : $01080364 : 17302372 : RC4AutoCleaningCountingPro : 
ECID : $01080371 : 17302385 : RC1AutoCleaningTotalCount : 
ECID : $01080372 : 17302386 : RC2AutoCleaningTotalCount : 
ECID : $01080373 : 17302387 : RC3AutoCleaningTotalCount : 
ECID : $01080374 : 17302388 : RC4AutoCleaningTotalCount : 
ECID : $01080381 : 17302401 : RC1AutoCleanRcpExeTiming : 
ECID : $01080382 : 17302402 : RC2AutoCleanRcpExeTiming : 
ECID : $01080383 : 17302403 : RC3AutoCleanRcpExeTiming : 
ECID : $01080384 : 17302404 : RC4AutoCleanRcpExeTiming : 
ECID : $0109fba1 : 17431457 : RC1AutoCleanWarnAt : 
ECID : $0109fba2 : 17431458 : RC2AutoCleanWarnAt : 
ECID : $0109fba3 : 17431459 : RC3AutoCleanWarnAt : 
ECID : $0109fba4 : 17431460 : RC4AutoCleanWarnAt : 
ECID : $010d10c1 : 17633473 : RC1AutoCleanAccumCount : 
ECID : $010d10c2 : 17633474 : RC2AutoCleanAccumCount : 
ECID : $010d10c3 : 17633475 : RC3AutoCleanAccumCount : 
ECID : $010d10c4 : 17633476 : RC4AutoCleanAccumCount : 
ECID : $01080391 : 17302417 : RC1AutoLinePurgeTriggerTyp : 
ECID : $01080392 : 17302418 : RC2AutoLinePurgeTriggerTyp : 
ECID : $01080393 : 17302419 : RC3AutoLinePurgeTriggerTyp : 
ECID : $01080394 : 17302420 : RC4AutoLinePurgeTriggerTyp : 
ECID : $010803a1 : 17302433 : RC1AutoLinePurgeCountPro : 
ECID : $010803a2 : 17302434 : RC2AutoLinePurgeCountPro : 
ECID : $010803a3 : 17302435 : RC3AutoLinePurgeCountPro : 
ECID : $010803a4 : 17302436 : RC4AutoLinePurgeCountPro : 
ECID : $010803b1 : 17302449 : RC1AutoLinePurgeClnTotalCnt : 
ECID : $010803b2 : 17302450 : RC2AutoLinePurgeClnTotalCnt : 
ECID : $010803b3 : 17302451 : RC3AutoLinePurgeClnTotalCnt : 
ECID : $010803b4 : 17302452 : RC4AutoLinePurgeClnTotalCnt : 
ECID : $010803c1 : 17302465 : RC1AutoLinePurgeRcpExeTimng : 
ECID : $010803c2 : 17302466 : RC2AutoLinePurgeRcpExeTimng : 
ECID : $010803c3 : 17302467 : RC3AutoLinePurgeRcpExeTimng : 
ECID : $010803c4 : 17302468 : RC4AutoLinePurgeRcpExeTimng : 
ECID : $0109fbb1 : 17431473 : RC1AutoPurgeWarnAt : 
ECID : $0109fbb2 : 17431474 : RC2AutoPurgeWarnAt : 
ECID : $0109fbb3 : 17431475 : RC3AutoPurgeWarnAt : 
ECID : $0109fbb4 : 17431476 : RC4AutoPurgeWarnAt : 
ECID : $0109fbc1 : 17431489 : RC1AutoDummyTriggerType : 
ECID : $0109fbc2 : 17431490 : RC2AutoDummyTriggerType : 
ECID : $0109fbc3 : 17431491 : RC3AutoDummyTriggerType : 
ECID : $0109fbc4 : 17431492 : RC4AutoDummyTriggerType : 
