FileName = C:\Escalation\Samsung\300147924\Meslog.ml_02

LogCount = 1220
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2018/10/05","06:35:00","Send","S6F1","","466B","OFF","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :7646 (1DDEh)
  Ascii(1)  16  :2018100506350076
  List (1) 150
    UInt1(1)   1  :0 (00h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :1 (01h)
    UInt1(1)   1  :6 (06h)
    UInt1(1)   1  :6 (06h)
    UInt1(1)   1  :6 (06h)
    Ascii(1)  12  :PMTIALC45H40
    Ascii(1)  13  :Ar_Idle_1T_S1
    Ascii(1)  12  :PMTIALC45H40
    UInt2(1)   2  :18 (12h)
    UInt2(1)   2  :10 (0Ah)
    UInt2(1)   2  :18 (12h)
    Ascii(1)   4  :EXIT
    Ascii(1)   3  :End
    Ascii(1)   4  :EXIT
    Ascii(1)   7  :0000.05
    Ascii(1)   7  :0001.00
    Ascii(1)   7  :0000.05
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :01.503
    Ascii(1)   6  :01.000
    Ascii(1)   6  :01.501
    Ascii(1)   6  :0002.7
    Ascii(1)   6  :0003.0
    Ascii(1)   6  :0002.7
    Ascii(1)   6  :031.27
    Ascii(1)   6  :030.77
    Ascii(1)   6  :031.08
    Ascii(1)   6  :020.76
    Ascii(1)   6  :021.10
    Ascii(1)   6  :021.53
    Ascii(1)   6  :-00.06
    Ascii(1)   6  :000.13
    Ascii(1)   6  :000.48
    Ascii(1)   6  :-00.31
    Ascii(1)   6  :000.16
    Ascii(1)   6  :000.63
    Ascii(1)   6  :030.97
    Ascii(1)   6  :030.10
    Ascii(1)   6  :023.40
    Ascii(1)   6  :009.40
    Ascii(1)   6  :008.22
    Ascii(1)   6  :008.88
    Ascii(1)   6  :001.55
    Ascii(1)   6  :034.10
    Ascii(1)   6  :000.13
    Ascii(1)   6  :000.30
    Ascii(1)   6  :000.61
    Ascii(1)   6  :000.28
    Ascii(1)   6  :01.913
    Ascii(1)   6  :01.222
    Ascii(1)   6  :02.028
    Ascii(1)   6  :022.07
    Ascii(1)   6  :021.96
    Ascii(1)   6  :017.33
    Ascii(1)   6  :003.87
    Ascii(1)   6  :003.88
    Ascii(1)   6  :004.06
    Ascii(1)   6  :0001.1
    Ascii(1)   6  :0001.0
    Ascii(1)   6  :0002.0
    Ascii(1)   6  :091.00
    Ascii(1)   6  :099.89
    Ascii(1)   6  :089.27
    Ascii(1)   6  :-00004
    Ascii(1)   6  :000101
    Ascii(1)   6  :-00003
    Ascii(1)   6  :004.00
    Ascii(1)   6  :004.57
    Ascii(1)   6  :004.08
    Ascii(1)   6  :-00003
    Ascii(1)   6  :000001
    Ascii(1)   6  :-00005
    Ascii(1)   6  :029.90
    Ascii(1)   6  :149.93
