//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
102480 DepositionStepFinished
102496 CleaningRecipeStarted
102512 CleaningRecipeFinished
102528 CleaningStepStarted
102544 CleaningStepFinished
102560 LeakCheckData
102577 RCPP1Change
102578 RCPP2Change
102579 RCPP3Change
102580 RCPP4Change
102581 RCPP5Change
102672 CMOutOfService
102688 CMReadyToLoad
102704 CMReadyToUnoad
102720 CMTransferBlocked
102928 CMIDNotRead
102944 CMIDWaitingForHost
102960 CMVerificationOK
102976 CMVerificationFailed
103184 CMSlotMapNotRead
103200 CMSlotMapWaitingForHost
103216 CMSlotMapVerificationOK
103232 CMSlotMapVerificationFailed
103440 CMNotAccessed
103456 CMInAccess
103472 CMCarrierCompleted
103488 CMCarrierStopped
103696 CMAccessModeManualWait
103712 CMAccessModeAutoWait
103728 CMAccessModeManualHandOff
103744 CMAccessModeAutoHandOff
103952 CMReserved
103968 CMNotReserved
104208 CMAssociated
104224 CMNotAssociated
104464 PJPooled
104480 PJSetup
104496 PJWaitingForHost
104512 PJProcessing
104528 PJProcessingCompleted
104544 PJCompleted
104560 PJCanceled
104576 PJPausing
104592 PJPaused
104608 PJAborting
104624 PJStopping
104720 CJQueued
104736 CJSelected
104752 CJWaitingForHost
104768 CJExecuting
104784 CJPaused
104800 CJCompleted
104816 CJCanceled
104832 CJStoped
104848 CJAborted
104864 CJDeleted
104976 STAtSource
104992 STAtWork
105008 STAtDestination
105024 STNeedProcessing
105040 STInProcess
105056 STProcessingCompleted
105232 STUnoccupied
105248 STOccupied
105265 RC1StepStarted
105266 RC2StepStarted
105267 RC3StepStarted
105268 RC4StepStarted
105269 RC5StepStarted
105281 RC1StepFinished
105282 RC2StepFinished
105283 RC3StepFinished
105284 RC4StepFinished
105285 RC5StepFinished
105297 RC1ProcStepSumData
105298 RC2ProcStepSumData
105299 RC3ProcStepSumData
105300 RC4ProcStepSumData
105301 RC5ProcStepSumData
78343 LL1PumpdownStart
78344 LL1PumpdownFinish
78345 LL2PumpdownStart
78346 LL2PumpdownFinish
78347 LL1BackfillStart
78348 LL1BackfillFinish
78349 LL2BackfillStart
78350 LL2BackfillFinish
90368 TraceSuspend
90369 TraceResume
105729 LL1SlowStarted
105730 LL2SlowStarted
105745 LL1SlowFinished
105746 LL2SlowFinished
105761 LL1FastStarted
105762 LL2FastStarted
105777 LL1FastFinished
105778 LL2FastFinished
16842753 ChamberAlarmRC1Detected
16908289 ChamberAlarmRC2Detected
16973825 ChamberAlarmRC3Detected
17039361 ChamberAlarmRC4Detected
17104897 ChamberAlarmRC5Detected
17235969 ChamberAlarmLL1Detected
17301505 ChamberAlarmLL2Detected
17367041 ChamberAlarmLL3Detected
17432577 ChamberAlarmLL4Detected
17498113 ChamberAlarmWHCDetected
33619969 GateValveAlarmGV1Detected
33685505 GateValveAlarmGV2Detected
33751041 GateValveAlarmGV3Detected
33816577 GateValveAlarmGV4Detected
33882113 GateValveAlarmGV5Detected
33947649 GateValveAlarmGV6Detected
34013185 GateValveAlarmGV7Detected
34078721 GateValveAlarmGV8Detected
34144257 Rev0.08-1Chg
34275329 SealPlateAlarmDetected
50397185 RobotAlarmFERbtDetected
50462721 RobotAlarmBERbtDetected
50528257 RobotAlarmLLAligner1Detected
50593793 RobotAlarmLLAligner2Detected
50659329 RobotAlarmAlignerDetected
50724865 RobotAlarmMetrologyDetected
67174401 LoadPortAlarmLP1Detected
67239937 LoadPortAlarmLP2Detected
67305473 LoadPortAlarmLP3Detected
67371009 LoadPortAlarmLP4Detected
