FileName = C:\Users\tnguyen02\Documents\OneComm Escalation\Samsung\300130350-Event Delay\B6269_SAS_MsgLost\Data Collection\08Feb2018\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_10

LogCount = 1107
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","02/08","13:13:21","Send","S6F1","","D659","OFF",
"1","02/08","13:13:20","Send","S6F1","","D658","OFF",
"2","02/08","13:13:20","Send","S6F1","","D657","OFF",
"3","02/08","13:13:20","Send","S6F1","","D656","OFF",
"4","02/08","13:13:20","Send","S6F1","","D655","OFF",
"5","02/08","13:13:19","Send","S6F1","","D654","OFF",
"6","02/08","13:13:19","Send","S6F1","","D653","OFF",
"7","02/08","13:13:19","Send","S6F1","","D652","OFF",
"8","02/08","13:13:19","Send","S6F1","","D651","OFF",
"9","02/08","13:13:18","Send","S6F1","","D650","OFF",
"10","02/08","13:13:18","Send","S6F1","","D64F","OFF",
"11","02/08","13:13:18","Send","S6F1","","D64E","OFF",
"12","02/08","13:13:18","Send","S6F1","","D64D","OFF",
"13","02/08","13:13:17","Send","S6F1","","D64C","OFF",
"14","02/08","13:13:17","Send","S6F1","","D64B","OFF",
"15","02/08","13:13:17","Send","S6F1","","D64A","OFF",
"16","02/08","13:13:17","Send","S6F1","","D649","OFF",
"17","02/08","13:13:16","Send","S6F1","","D648","OFF",
"18","02/08","13:13:16","Send","S6F1","","D647","OFF",
"19","02/08","13:13:16","Send","S6F1","","D646","OFF",
"20","02/08","13:13:16","Send","S6F1","","D645","OFF",
"21","02/08","13:13:15","Send","S6F1","","D644","OFF",
"22","02/08","13:13:15","Send","S6F1","","D643","OFF",
"23","02/08","13:13:15","Send","S6F1","","D642","OFF",
"24","02/08","13:13:15","Send","S6F1","","D641","OFF",
"25","02/08","13:13:14","Send","S6F1","","D640","OFF",
"26","02/08","13:13:14","Send","S6F1","","D63F","OFF",
"27","02/08","13:13:14","Send","S6F1","","D63E","OFF",
"28","02/08","13:13:14","Send","S6F1","","D63D","OFF",
"29","02/08","13:13:13","Send","S6F1","","D63C","OFF",
"30","02/08","13:13:13","Send","S6F1","","D63B","OFF",
"31","02/08","13:13:13","Send","S6F1","","D63A","OFF",
"32","02/08","13:13:13","Send","S6F1","","D639","OFF",
"33","02/08","13:13:12","Send","S6F1","","D638","OFF",
"34","02/08","13:13:12","Send","S6F1","","D637","OFF",
"35","02/08","13:13:12","Send","S6F1","","D636","OFF",
"36","02/08","13:13:12","Send","S6F1","","D635","OFF",
"37","02/08","13:13:11","Send","S6F1","","D634","OFF",
"38","02/08","13:13:11","Send","S6F1","","D633","OFF",
"39","02/08","13:13:11","Send","S6F1","","D632","OFF",
"40","02/08","13:13:11","Send","S6F1","","D631","OFF",
"41","02/08","13:13:10","Send","S6F1","","D630","OFF",
"42","02/08","13:13:10","Send","S6F1","","D62F","OFF",
"43","02/08","13:13:10","Send","S6F1","","D62E","OFF",
"44","02/08","13:13:10","Send","S6F1","","D62D","OFF",
"45","02/08","13:13:09","Send","S6F1","","D62C","OFF",
"46","02/08","13:13:09","Send","S6F1","","D62B","OFF",
"47","02/08","13:13:09","Send","S6F1","","D62A","OFF",
"48","02/08","13:13:09","Send","S6F1","","D629","OFF",
"49","02/08","13:13:08","Send","S6F1","","D628","OFF",
"50","02/08","13:13:08","Send","S6F1","","D627","OFF",
"51","02/08","13:13:08","Send","S6F1","","D626","OFF",
"52","02/08","13:13:08","Send","S6F1","","D625","OFF",
"53","02/08","13:13:07","Send","S6F1","","D624","OFF",
"54","02/08","13:13:07","Send","S6F1","","D623","OFF",
"55","02/08","13:13:07","Send","S6F1","","D622","OFF",
"56","02/08","13:13:07","Send","S6F1","","D621","OFF",
"57","02/08","13:13:06","Send","S6F1","","D620","OFF",
"58","02/08","13:13:06","Send","S6F1","","D61F","OFF",
"59","02/08","13:13:06","Send","S6F1","","D61E","OFF",
"60","02/08","13:13:06","Send","S6F1","","D61D","OFF",
"61","02/08","13:13:05","Send","S6F1","","D61C","OFF",
"62","02/08","13:13:05","Send","S6F1","","D61B","OFF",
"63","02/08","13:13:05","Send","S6F1","","D61A","OFF",
"64","02/08","13:13:05","Send","S6F1","","D619","OFF",
"65","02/08","13:13:04","Send","S6F1","","D618","OFF",
"66","02/08","13:13:04","Send","S6F1","","D617","OFF",
