FileName = C:\Users\tnguyen02\Documents\OneComm Escalation\Samsung\300130350-Event Delay\B6269_SAS_MsgLost\Data Collection\08Feb2018\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_19

LogCount = 1455
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","02/08","13:49:28","Send","S6F11","118800 (1D010h)","FE1A","OFF",
"1","02/08","13:49:28","Recv","S6F6","","FE17","OFF",
"2","02/08","13:49:27","Send","S6F1","","FE19","OFF",
"3","02/08","13:49:27","Send","S6F1","","FE18","OFF",
"4","02/08","13:49:27","Send","S6F5","","FE17","ON",
"5","02/08","13:49:27","Send","S6F11","118816 (1D020h)","FE16","OFF",
"6","02/08","13:49:27","Recv","S6F6","","FE13","OFF",
"7","02/08","13:49:27","Send","S6F1","","FE15","OFF",
"8","02/08","13:49:27","Send","S6F1","","FE14","OFF",
"9","02/08","13:49:27","Send","S6F5","","FE13","ON",
"10","02/08","13:49:27","Send","S6F1","","FE12","OFF",
"11","02/08","13:49:27","Send","S6F1","","FE11","OFF",
"12","02/08","13:49:26","Send","S6F11","102416 (19010h)","FE10","OFF",
"13","02/08","13:49:26","Send","S6F11","105282 (19B42h)","FE0F","OFF",
"14","02/08","13:49:26","Recv","S6F6","","FE0E","OFF",
"15","02/08","13:49:26","Send","S6F5","","FE0E","ON",
"16","02/08","13:49:26","Send","S6F11","105298 (19B52h)","FE0D","OFF",
"17","02/08","13:49:26","Send","S6F1","","FE0C","OFF",
"18","02/08","13:49:26","Recv","S6F6","","FE0A","OFF",
"19","02/08","13:49:26","Send","S6F1","","FE0B","OFF",
"20","02/08","13:49:26","Send","S6F5","","FE0A","ON",
"21","02/08","13:49:26","Send","S6F1","","FE09","OFF",
"22","02/08","13:49:26","Send","S6F1","","FE08","OFF",
"23","02/08","13:49:25","Send","S6F11","105266 (19B32h)","FE07","OFF",
"24","02/08","13:49:25","Send","S6F11","102416 (19010h)","FE06","OFF",
"25","02/08","13:49:25","Send","S6F11","105282 (19B42h)","FE05","OFF",
"26","02/08","13:49:25","Recv","S6F6","","FE04","OFF",
"27","02/08","13:49:25","Send","S6F5","","FE04","ON",
"28","02/08","13:49:25","Send","S6F1","","FE03","OFF",
"29","02/08","13:49:25","Send","S6F1","","FE02","OFF",
"30","02/08","13:49:25","Send","S6F11","105298 (19B52h)","FE01","OFF",
"31","02/08","13:49:25","Recv","S6F6","","FE00","OFF",
"32","02/08","13:49:25","Send","S6F5","","FE00","ON",
"33","02/08","13:49:24","Send","S6F11","118912 (1D080h)","FDFF","OFF",
"34","02/08","13:49:24","Recv","S6F6","","FDFE","OFF",
"35","02/08","13:49:24","Send","S6F5","","FDFE","ON",
"36","02/08","13:49:24","Send","S6F11","118800 (1D010h)","FDFD","OFF",
"37","02/08","13:49:24","Send","S6F1","","FDFC","OFF",
"38","02/08","13:49:24","Send","S6F1","","FDFB","OFF",
"39","02/08","13:49:24","Recv","S6F6","","FDFA","OFF",
"40","02/08","13:49:24","Send","S6F5","","FDFA","ON",
"41","02/08","13:49:24","Send","S6F11","118816 (1D020h)","FDF9","OFF",
"42","02/08","13:49:24","Recv","S6F6","","FDF6","OFF",
"43","02/08","13:49:24","Send","S6F1","","FDF8","OFF",
"44","02/08","13:49:24","Send","S6F1","","FDF7","OFF",
"45","02/08","13:49:24","Send","S6F5","","FDF6","ON",
"46","02/08","13:49:24","Send","S6F11","118960 (1D0B0h)","FDF5","OFF",
"47","02/08","13:49:24","Recv","S6F6","","FDF4","OFF",
"48","02/08","13:49:23","Send","S6F5","","FDF4","ON",
"49","02/08","13:49:23","Send","S6F11","78033 (130D1h)","FDF3","OFF",
"50","02/08","13:49:23","Send","S6F11","118800 (1D010h)","FDF2","OFF",
"51","02/08","13:49:23","Recv","S6F6","","FDEF","OFF",
"52","02/08","13:49:23","Send","S6F1","","FDF1","OFF",
"53","02/08","13:49:23","Send","S6F1","","FDF0","OFF",
"54","02/08","13:49:23","Send","S6F5","","FDEF","ON",
"55","02/08","13:49:23","Send","S6F11","118816 (1D020h)","FDEE","OFF",
"56","02/08","13:49:23","Recv","S6F6","","FDED","OFF",
"57","02/08","13:49:23","Send","S6F5","","FDED","ON",
"58","02/08","13:49:23","Send","S6F11","78209 (13181h)","FDEC","OFF",
"59","02/08","13:49:23","Send","S6F11","102448 (19030h)","FDEB","OFF",
"60","02/08","13:49:23","Send","S6F11","98384 (18050h)","FDEA","OFF",
"61","02/08","13:49:23","Recv","S6F6","","FDE7","OFF",
"62","02/08","13:49:23","Send","S6F1","","FDE9","OFF",
"63","02/08","13:49:23","Send","S6F1","","FDE8","OFF",
"64","02/08","13:49:23","Send","S6F5","","FDE7","ON",
"65","02/08","13:49:23","Send","S6F11","98384 (18050h)","FDE6","OFF",
