///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromEventXp.txt
// Version: 1.0
// Date: Sun Sep  1 00:02:21 2019
//
// This file is to configure all ECIDs, RPTIDs, VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $05051850 : 84219984 : ProcRCDataSetAI21 : 
VID : $05051860 : 84220000 : ProcRCDataSetAI22 : 
VID : $05051870 : 84220016 : ProcRCDataSetAI23 : 
VID : $05051880 : 84220032 : ProcRCDataSetAI24 : 
VID : $05051890 : 84220048 : ProcRCDataSetAI25 : 
VID : $050518A0 : 84220064 : ProcRCDataSetAI26 : 
VID : $050518B0 : 84220080 : ProcRCDataSetAI27 : 
VID : $050518C0 : 84220096 : ProcRCDataSetAI28 : 
VID : $050518D0 : 84220112 : ProcRCDataSetAI29 : 
VID : $050518E0 : 84220128 : ProcRCDataSetAI30 : 
VID : $050518F0 : 84220144 : ProcRCDataSetAI31 : 
VID : $05051900 : 84220160 : ProcRCDataSetAI32 : 
VID : $05051910 : 84220176 : ProcRCDataSetAI33 : 
VID : $05051920 : 84220192 : ProcRCDataSetAI34 : 
VID : $05051930 : 84220208 : ProcRCDataSetAI35 : 
VID : $05051940 : 84220224 : ProcRCDataSetAI36 : 
VID : $05051950 : 84220240 : ProcRCDataSetAI37 : 
VID : $05051960 : 84220256 : ProcRCDataSetAI38 : 
VID : $05051970 : 84220272 : ProcRCDataSetAI39 : 
VID : $05051980 : 84220288 : ProcRCDataSetAI40 : 
VID : $05051990 : 84220304 : ProcRCDataSetAI41 : 
VID : $050519A0 : 84220320 : ProcRCDataSetAI42 : 
VID : $050519B0 : 84220336 : ProcRCDataSetAI43 : 
VID : $050519C0 : 84220352 : ProcRCDataSetAI44 : 
VID : $050519D0 : 84220368 : ProcRCDataSetAI45 : 
VID : $050519E0 : 84220384 : ProcRCDataSetAI46 : 
VID : $050519F0 : 84220400 : ProcRCDataSetAI47 : 
VID : $05051A00 : 84220416 : ProcRCDataSetAI48 : 
VID : $05051A10 : 84220432 : ProcRCDataSetAI49 : 
VID : $05051A20 : 84220448 : ProcRCDataSetAI50 : 
VID : $05051A30 : 84220464 : ProcRCDataSetAI51 : 
VID : $05051A40 : 84220480 : ProcRCDataSetAI52 : 
VID : $05051A50 : 84220496 : ProcRCDataSetAI53 : 
VID : $05051A60 : 84220512 : ProcRCDataSetAI54 : 
VID : $05051A70 : 84220528 : ProcRCDataSetAI55 : 
VID : $05051A80 : 84220544 : ProcRCDataSetAI56 : 
VID : $05051A90 : 84220560 : ProcRCDataSetAI57 : 
VID : $05051AA0 : 84220576 : ProcRCDataSetAI58 : 
VID : $05051AB0 : 84220592 : ProcRCDataSetAI59 : 
VID : $05051AC0 : 84220608 : ProcRCDataSetAI60 : 
VID : $05051AD0 : 84220624 : ProcRCDataSetAI61 : 
VID : $05051AE0 : 84220640 : ProcRCDataSetAI62 : 
VID : $05051AF0 : 84220656 : ProcRCDataSetAI63 : 
VID : $05052D00 : 84225280 : ProcRCDataSetAI64 : 
VID : $05052D10 : 84225296 : ProcRCDataSetAI65 : 
VID : $05052D20 : 84225312 : ProcRCDataSetAI66 : 
VID : $05052D30 : 84225328 : ProcRCDataSetAI67 : 
VID : $05052D40 : 84225344 : ProcRCDataSetAI68 : 
VID : $05052D50 : 84225360 : ProcRCDataSetAI69 : 
VID : $05052D60 : 84225376 : ProcRCDataSetAI70 : 
VID : $05052D70 : 84225392 : ProcRCDataSetAI71 : 
VID : $05052D80 : 84225408 : ProcRCDataSetAI72 : 
VID : $05052D90 : 84225424 : ProcRCDataSetAI73 : 
VID : $05052DA0 : 84225440 : ProcRCDataSetAI74 : 
VID : $05052DB0 : 84225456 : ProcRCDataSetAI75 : 
VID : $05052DC0 : 84225472 : ProcRCDataSetAI76 : 
VID : $05052DD0 : 84225488 : ProcRCDataSetAI77 : 
VID : $05052DE0 : 84225504 : ProcRCDataSetAI78 : 
VID : $05052DF0 : 84225520 : ProcRCDataSetAI79 : 
VID : $05052E00 : 84225536 : ProcRCDataSetAI80 : 
VID : $05052E10 : 84225552 : ProcRCDataSetAI81 : 
VID : $05052E20 : 84225568 : ProcRCDataSetAI82 : 
VID : $05052E30 : 84225584 : ProcRCDataSetAI83 : 
VID : $05052E40 : 84225600 : ProcRCDataSetAI84 : 
VID : $05052E50 : 84225616 : ProcRCDataSetAI85 : 
VID : $05052E60 : 84225632 : ProcRCDataSetAI86 : 
VID : $05052E70 : 84225648 : ProcRCDataSetAI87 : 
VID : $05052E80 : 84225664 : ProcRCDataSetAI88 : 
VID : $05052E90 : 84225680 : ProcRCDataSetAI89 : 
VID : $05052EA0 : 84225696 : ProcRCDataSetAI90 : 
VID : $05052EB0 : 84225712 : ProcRCDataSetAI91 : 
VID : $05052EC0 : 84225728 : ProcRCDataSetAI92 : 
VID : $05052ED0 : 84225744 : ProcRCDataSetAI93 : 
VID : $05052EE0 : 84225760 : ProcRCDataSetAI94 : 
VID : $05052EF0 : 84225776 : ProcRCDataSetAI95 : 
VID : $05050500 : 84215040 : ProcRCDataMaxAI0 : 
VID : $05050510 : 84215056 : ProcRCDataMaxAI1 : 
VID : $05050520 : 84215072 : ProcRCDataMaxAI2 : 
VID : $05050530 : 84215088 : ProcRCDataMaxAI3 : 
VID : $05050540 : 84215104 : ProcRCDataMaxAI4 : 
VID : $05050550 : 84215120 : ProcRCDataMaxAI5 : 
VID : $05050560 : 84215136 : ProcRCDataMaxAI6 : 
VID : $05050570 : 84215152 : ProcRCDataMaxAI7 : 
VID : $05050580 : 84215168 : ProcRCDataMaxAI8 : 
VID : $05050590 : 84215184 : ProcRCDataMaxAI9 : 
VID : $050505A0 : 84215200 : ProcRCDataMaxAI10 : 
VID : $050505B0 : 84215216 : ProcRCDataMaxAI11 : 
VID : $050505C0 : 84215232 : ProcRCDataMaxAI12 : 
VID : $050505D0 : 84215248 : ProcRCDataMaxAI13 : 
