FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\TSMC\300141520-Wafer stuck in RC until other job finished\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_00

LogCount = 8229
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"88","06/14","05:10:14","Recv","S6F12","","F72E","OFF",
"89","06/14","05:10:14","Send","S6F11","78195 (13173h)","F72E","ON",
"90","06/14","05:10:14","Recv","S6F12","","F72D","OFF",
"91","06/14","05:10:14","Send","S6F11","78114 (13122h)","F72D","ON",
"92","06/14","05:10:10","Recv","S6F12","","F72C","OFF",
"93","06/14","05:10:10","Send","S6F11","78337 (13201h)","F72C","ON",
"94","06/14","05:10:10","Recv","S6F12","","F72B","OFF",
"95","06/14","05:10:09","Send","S6F11","78098 (13112h)","F72B","ON",
"96","06/14","05:10:06","Recv","S6F12","","F72A","OFF",
"97","06/14","05:10:06","Send","S6F11","78321 (131F1h)","F72A","ON",
"98","06/14","05:10:05","Recv","S6F12","","F729","OFF",
"99","06/14","05:10:05","Send","S6F11","78273 (131C1h)","F729","ON",
"100","06/14","05:10:01","Recv","S6F12","","F728","OFF",
"101","06/14","05:10:01","Send","S6F11","78257 (131B1h)","F728","ON",
"102","06/14","05:10:00","Recv","S6F12","","F727","OFF",
"103","06/14","05:10:00","Send","S6F11","78305 (131E1h)","F727","ON",
"104","06/14","05:09:54","Recv","S6F12","","F726","OFF",
"105","06/14","05:09:53","Send","S6F11","78289 (131D1h)","F726","ON",
"106","06/14","05:09:31","Recv","S6F12","","F725","OFF",
"107","06/14","05:09:31","Send","S6F11","78241 (131A1h)","F725","ON",
"108","06/14","05:09:27","Recv","S6F12","","F724","OFF",
"109","06/14","05:09:27","Send","S6F11","102448 (19030h)","F724","ON",
"110","06/14","05:09:26","Recv","S6F12","","F723","OFF",
"111","06/14","05:09:26","Send","S6F11","78225 (13191h)","F723","ON",
"112","06/14","05:09:26","Recv","S6F12","","F722","OFF",
"113","06/14","05:09:26","Send","S6F11","77937 (13071h)","F722","ON",
"114","06/14","05:08:15","Recv","S6F12","","F721","OFF",
"115","06/14","05:08:15","Send","S6F11","102432 (19020h)","F721","ON",
"116","06/14","05:08:14","Recv","S6F12","","F720","OFF",
"117","06/14","05:08:14","Send","S6F11","77924 (13064h)","F720","ON",
"118","06/14","05:08:06","Recv","S6F12","","F71F","OFF",
"119","06/14","05:08:06","Send","S6F11","78081 (13101h)","F71F","ON",
"120","06/14","05:08:01","Recv","S6F12","","F71E","OFF",
"121","06/14","05:08:01","Send","S6F11","78065 (130F1h)","F71E","ON",
"122","06/14","05:08:01","Recv","S6F12","","F71D","OFF",
"123","06/14","05:08:01","Send","S6F11","78051 (130E3h)","F71D","ON",
"124","06/14","05:07:57","Recv","S6F12","","F71C","OFF",
"125","06/14","05:07:57","Send","S6F11","78035 (130D3h)","F71C","ON",
"126","06/14","05:07:56","Recv","S6F12","","F71B","OFF",
"127","06/14","05:07:56","Send","S6F11","78338 (13202h)","F71B","ON",
"128","06/14","05:07:51","Recv","S6F12","","F71A","OFF",
"129","06/14","05:07:51","Send","S6F11","78322 (131F2h)","F71A","ON",
"130","06/14","05:07:51","Recv","S6F12","","F719","OFF",
"131","06/14","05:07:51","Send","S6F11","78276 (131C4h)","F719","ON",
"132","06/14","05:07:48","Recv","S6F12","","F718","OFF",
"133","06/14","05:07:48","Send","S6F11","78211 (13183h)","F718","ON",
"134","06/14","05:07:46","Recv","S6F12","","F717","OFF",
"135","06/14","05:07:46","Send","S6F11","78260 (131B4h)","F717","ON",
"136","06/14","05:07:46","Recv","S6F12","","F716","OFF",
"137","06/14","05:07:46","Send","S6F11","78308 (131E4h)","F716","ON",
"138","06/14","05:07:44","Recv","S6F12","","F715","OFF",
"139","06/14","05:07:44","Send","S6F11","78195 (13173h)","F715","ON",
"140","06/14","05:07:44","Recv","S6F12","","F714","OFF",
"141","06/14","05:07:44","Send","S6F11","78113 (13121h)","F714","ON",
"142","06/14","05:07:39","Recv","S6F12","","F713","OFF",
"143","06/14","05:07:39","Send","S6F11","78292 (131D4h)","F713","ON",
"144","06/14","05:07:39","Recv","S6F12","","F712","OFF",
"145","06/14","05:07:39","Send","S6F11","78097 (13111h)","F712","ON",
"146","06/14","05:07:17","Recv","S6F12","","F711","OFF",
"147","06/14","05:07:17","Send","S6F11","78242 (131A2h)","F711","ON",
"148","06/14","05:07:12","Recv","S6F12","","F710","OFF",
"149","06/14","05:07:12","Send","S6F11","102448 (19030h)","F710","ON",
"150","06/14","05:07:11","Recv","S6F12","","F70F","OFF",
"151","06/14","05:07:11","Send","S6F11","78226 (13192h)","F70F","ON",
"152","06/14","05:07:11","Recv","S6F12","","F70E","OFF",
"153","06/14","05:07:11","Send","S6F11","77940 (13074h)","F70E","ON",
"154","06/14","05:06:37","Recv","S6F12","","F70D","OFF",
"155","06/14","05:06:37","Send","S6F11","78082 (13102h)","F70D","ON",
"156","06/14","05:06:33","Recv","S6F12","","F70C","OFF",
"157","06/14","05:06:33","Send","S6F11","78066 (130F2h)","F70C","ON",
"158","06/14","05:06:32","Recv","S6F12","","F70B","OFF",
"159","06/14","05:06:32","Send","S6F11","78051 (130E3h)","F70B","ON",
"160","06/14","05:06:29","Recv","S6F12","","F70A","OFF",
"161","06/14","05:06:29","Send","S6F11","78035 (130D3h)","F70A","ON",
"162","06/14","05:06:29","Recv","S6F12","","F709","OFF",
"163","06/14","05:06:29","Send","S6F11","78211 (13183h)","F709","ON",
"164","06/14","05:06:25","Recv","S6F12","","F708","OFF",
"165","06/14","05:06:25","Send","S6F11","78195 (13173h)","F708","ON",
"166","06/14","05:06:25","Recv","S6F12","","F707","OFF",
"167","06/14","05:06:25","Send","S6F11","78114 (13122h)","F707","ON",
"168","06/14","05:06:20","Recv","S6F12","","F706","OFF",
"169","06/14","05:06:20","Send","S6F11","78098 (13112h)","F706","ON",
"170","06/14","05:05:41","Recv","S6F12","","F705","OFF",
"171","06/14","05:05:41","Send","S6F11","102432 (19020h)","F705","ON",
"172","06/14","05:05:41","Recv","S6F12","","F704","OFF",
"173","06/14","05:05:41","Send","S6F11","77923 (13063h)","F704","ON",
"174","06/14","05:05:23","Recv","S6F12","","F703","OFF",
"175","06/14","05:05:23","Send","S6F11","78337 (13201h)","F703","ON",
"176","06/14","05:05:18","Recv","S6F12","","F702","OFF",
"177","06/14","05:05:17","Send","S6F11","78321 (131F1h)","F702","ON",
"178","06/14","05:05:17","Recv","S6F12","","F701","OFF",
"179","06/14","05:05:17","Send","S6F11","78275 (131C3h)","F701","ON",
"180","06/14","05:05:13","Recv","S6F12","","F700","OFF",
"181","06/14","05:05:12","Send","S6F11","78259 (131B3h)","F700","ON",
