"8145","06/13","19:33:28","Send","S6F11",CEID:78260 WaferMovedStartBERbtRC4
"8144","06/13","19:33:28","Recv","S6F12",Event Report Acknowledge
"8143","06/13","19:33:32","Send","S6F11","CEID:78276 WaferMovedFinishBERbtRC4 (RC4 Wafer Entered)"
"8142","06/13","19:33:32","Recv","S6F12",Event Report Acknowledge
"8141","06/13","19:33:33","Send","S6F11",CEID:78322 WaferMovedStartdBERbtLL2
"8140","06/13","19:33:33","Recv","S6F12",Event Report Acknowledge
"8139","06/13","19:33:38","Send","S6F11",CEID:78338 WaferMovedFinishdBERbtLL2
"8138","06/13","19:33:38","Recv","S6F12",Event Report Acknowledge
"8137","06/13","19:33:55","Send","S6F11","CEID:77924 RC4RecipeStarted (RC4 Started)"
"8136","06/13","19:33:56","Recv","S6F12",Event Report Acknowledge
"8135","06/13","19:33:56","Send","S6F11",CEID:102432 DepositionRecipeStarted
"8134","06/13","19:33:56","Recv","S6F12",Event Report Acknowledge
"8133","06/13","19:34:50","Send","S6F11",CEID:78097 WaferMovedStartLL1FERbt
"8132","06/13","19:34:50","Recv","S6F12",Event Report Acknowledge
"8131","06/13","19:34:54","Send","S6F11",CEID:78113 WaferMovedFinishLL1FERbt
"8130","06/13","19:34:54","Recv","S6F12",Event Report Acknowledge
"8129","06/13","19:34:55","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"8128","06/13","19:34:55","Recv","S6F12",Event Report Acknowledge
"8127","06/13","19:34:59","Send","S6F11","CEID:78211 WaferMovedFinishFERbtLP3 (LP3 receiving a Wafer )"
"8126","06/13","19:34:59","Recv","S6F12",Event Report Acknowledge
"8125","06/13","19:34:59","Send","S6F11","CEID:78035 WaferMovedStartLP3FERbt (LP3 sending Wafer in )"
"8124","06/13","19:34:59","Recv","S6F12",Event Report Acknowledge
"8123","06/13","19:35:02","Send","S6F11",CEID:78051 WaferMovedFinishLP3FERbt
"8122","06/13","19:35:02","Recv","S6F12",Event Report Acknowledge
"8121","06/13","19:35:03","Send","S6F11",CEID:78065 WaferMovedStartFERbtLL1
"8120","06/13","19:35:03","Recv","S6F12",Event Report Acknowledge
"8119","06/13","19:35:07","Send","S6F11",CEID:78081 WaferMovedFinishFERbtLL1
"8118","06/13","19:35:07","Recv","S6F12",Event Report Acknowledge
"8117","06/13","19:35:51","Send","S6F11",CEID:78098 WaferMovedStartLL2FERbt
"8116","06/13","19:35:51","Recv","S6F12",Event Report Acknowledge
"8115","06/13","19:35:56","Send","S6F11",CEID:78114 WaferMovedFinishLL2FERbt
"8114","06/13","19:35:56","Recv","S6F12",Event Report Acknowledge
"8113","06/13","19:35:56","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"8112","06/13","19:35:56","Recv","S6F12",Event Report Acknowledge
"8111","06/13","19:36:00","Send","S6F11","CEID:78211 WaferMovedFinishFERbtLP3 (LP3 receiving a Wafer )"
"8110","06/13","19:36:00","Recv","S6F12",Event Report Acknowledge
"8109","06/13","19:36:00","Send","S6F11","CEID:78035 WaferMovedStartLP3FERbt (LP3 sending Wafer in )"
"8108","06/13","19:36:00","Recv","S6F12",Event Report Acknowledge
"8107","06/13","19:36:02","Send","S6F11",CEID:77937 RC1RecipeFinished
"8106","06/13","19:36:02","Recv","S6F12",Event Report Acknowledge
"8105","06/13","19:36:02","Send","S6F11",CEID:78225 WaferMovedStartLL1BERbt
"8104","06/13","19:36:02","Recv","S6F12",Event Report Acknowledge
"8103","06/13","19:36:03","Send","S6F11",CEID:102448 DepositionRecipeFinished
"8102","06/13","19:36:03","Recv","S6F12",Event Report Acknowledge
"8101","06/13","19:36:03","Send","S6F11",CEID:78051 WaferMovedFinishLP3FERbt
"8100","06/13","19:36:03","Recv","S6F12",Event Report Acknowledge
"8099","06/13","19:36:04","Send","S6F11",CEID:78066 WaferMovedStartFERbtLL2
"8098","06/13","19:36:04","Recv","S6F12",Event Report Acknowledge
"8097","06/13","19:36:08","Send","S6F11",CEID:78082 WaferMovedFinishFERbtLL2
"8096","06/13","19:36:08","Recv","S6F12",Event Report Acknowledge
"8095","06/13","19:36:08","Send","S6F11",CEID:78241 WaferMovedFinishLL1BERbt
"8094","06/13","19:36:08","Recv","S6F12",Event Report Acknowledge
"8093","06/13","19:36:30","Send","S6F11",CEID:78289 WaferMovedStartRC1BERbt
"8092","06/13","19:36:30","Recv","S6F12",Event Report Acknowledge
"8091","06/13","19:36:36","Send","S6F11",CEID:78305 WaferMovedFinishRC1BERbt
"8090","06/13","19:36:37","Recv","S6F12",Event Report Acknowledge
"8089","06/13","19:36:37","Send","S6F11",CEID:78257 WaferMovedStartBERbtRC1
"8088","06/13","19:36:37","Recv","S6F12",Event Report Acknowledge
"8087","06/13","19:36:41","Send","S6F11","CEID:78273 WaferMovedFinishBERbtRC1 (RC1 Wafer Entered)"
"8086","06/13","19:36:42","Recv","S6F12",Event Report Acknowledge
"8085","06/13","19:36:42","Send","S6F11",CEID:78321 WaferMovedStartdBERbtLL1
"8084","06/13","19:36:42","Recv","S6F12",Event Report Acknowledge
"8083","06/13","19:36:46","Send","S6F11",CEID:78337 WaferMovedFinishdBERbtLL1
"8082","06/13","19:36:47","Recv","S6F12",Event Report Acknowledge
"8081","06/13","19:37:05","Send","S6F11","CEID:77921 RC1RecipeStarted (RC1 Started)"
"8080","06/13","19:37:05","Recv","S6F12",Event Report Acknowledge
"8079","06/13","19:37:05","Send","S6F11",CEID:102432 DepositionRecipeStarted
"8078","06/13","19:37:05","Recv","S6F12",Event Report Acknowledge
"8077","06/13","19:37:13","Send","S6F11",CEID:77938 RC2RecipeFinished
"8076","06/13","19:37:13","Recv","S6F12",Event Report Acknowledge
"8075","06/13","19:37:13","Send","S6F11",CEID:78226 WaferMovedStartLL2BERbt
"8074","06/13","19:37:13","Send","S6F11",CEID:102448 DepositionRecipeFinished
"8073","06/13","19:37:13","Recv","S6F12",Event Report Acknowledge
"8072","06/13","19:37:13","Recv","S6F12",Event Report Acknowledge
"8071","06/13","19:37:18","Send","S6F11",CEID:78242 WaferMovedFinishLL2BERbt
"8070","06/13","19:37:18","Recv","S6F12",Event Report Acknowledge
"8069","06/13","19:37:41","Send","S6F11",CEID:78290 WaferMovedStartRC2BERbt
"8068","06/13","19:37:41","Recv","S6F12",Event Report Acknowledge
"8067","06/13","19:37:47","Send","S6F11",CEID:78306 WaferMovedFinishRC2BERbt
"8066","06/13","19:37:47","Recv","S6F12",Event Report Acknowledge
"8065","06/13","19:37:48","Send","S6F11",CEID:78258 WaferMovedStartBERbtRC2
"8064","06/13","19:37:48","Recv","S6F12",Event Report Acknowledge
"8063","06/13","19:37:52","Send","S6F11","CEID:78274 WaferMovedFinishBERbtRC2 (RC2 Wafer Entered)"
"8062","06/13","19:37:52","Recv","S6F12",Event Report Acknowledge
"8061","06/13","19:37:53","Send","S6F11",CEID:78322 WaferMovedStartdBERbtLL2
"8060","06/13","19:37:53","Recv","S6F12",Event Report Acknowledge
"8059","06/13","19:37:58","Send","S6F11",CEID:78338 WaferMovedFinishdBERbtLL2
"8058","06/13","19:37:58","Recv","S6F12",Event Report Acknowledge
"8057","06/13","19:38:16","Send","S6F11","CEID:77922 RC2RecipeStarted (RC2 Started)"
"8056","06/13","19:38:16","Recv","S6F12",Event Report Acknowledge
"8055","06/13","19:38:16","Send","S6F11",CEID:102432 DepositionRecipeStarted
"8054","06/13","19:38:16","Recv","S6F12",Event Report Acknowledge
"8053","06/13","19:39:01","Send","S6F11",CEID:78097 WaferMovedStartLL1FERbt
"8052","06/13","19:39:01","Recv","S6F12",Event Report Acknowledge
"8051","06/13","19:39:06","Send","S6F11",CEID:78113 WaferMovedFinishLL1FERbt
"8050","06/13","19:39:06","Recv","S6F12",Event Report Acknowledge
"8049","06/13","19:39:06","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"8048","06/13","19:39:06","Recv","S6F12",Event Report Acknowledge
"8047","06/13","19:39:11","Send","S6F11","CEID:78211 WaferMovedFinishFERbtLP3 (LP3 receiving a Wafer )"
"8046","06/13","19:39:11","Recv","S6F12",Event Report Acknowledge
"8045","06/13","19:39:11","Send","S6F11","CEID:78035 WaferMovedStartLP3FERbt (LP3 sending Wafer in )"
