Got SoftRev: 1.78a2 
-> extractFromLog: S1F12 : Total : 15941 
VID : $02010212 : 33620498 : RC2LimitMaxMinAI31 :
VID : $02010222 : 33620514 : RC2LimitMaxMinAI32 :
VID : $02010232 : 33620530 : RC2LimitMaxMinAI33 :
VID : $02010242 : 33620546 : RC2LimitMaxMinAI34 :
VID : $02010252 : 33620562 : RC2LimitMaxMinAI35 :
VID : $02010262 : 33620578 : RC2LimitMaxMinAI36 :
VID : $02010272 : 33620594 : RC2LimitMaxMinAI37 :
VID : $02010282 : 33620610 : RC2LimitMaxMinAI38 :
VID : $02010292 : 33620626 : RC2LimitMaxMinAI39 :
VID : $020102a2 : 33620642 : RC2LimitMaxMinAI40 :
VID : $020102b2 : 33620658 : RC2LimitMaxMinAI41 :
VID : $020102c2 : 33620674 : RC2LimitMaxMinAI42 :
VID : $020102d2 : 33620690 : RC2LimitMaxMinAI43 :
VID : $020102e2 : 33620706 : RC2LimitMaxMinAI44 :
VID : $020102f2 : 33620722 : RC2LimitMaxMinAI45 :
VID : $02010302 : 33620738 : RC2LimitMaxMinAI46 :
VID : $02010312 : 33620754 : RC2LimitMaxMinAI47 :
VID : $02010322 : 33620770 : RC2LimitMaxMinAI48 :
VID : $02010332 : 33620786 : RC2LimitMaxMinAI49 :
VID : $02010342 : 33620802 : RC2LimitMaxMinAI50 :
VID : $02010352 : 33620818 : RC2LimitMaxMinAI51 :
VID : $02010362 : 33620834 : RC2LimitMaxMinAI52 :
VID : $02010372 : 33620850 : RC2LimitMaxMinAI53 :
VID : $02010382 : 33620866 : RC2LimitMaxMinAI54 :
VID : $02010392 : 33620882 : RC2LimitMaxMinAI55 :
VID : $020103a2 : 33620898 : RC2LimitMaxMinAI56 :
VID : $020103b2 : 33620914 : RC2LimitMaxMinAI57 :
VID : $020103c2 : 33620930 : RC2LimitMaxMinAI58 :
VID : $020103d2 : 33620946 : RC2LimitMaxMinAI59 :
VID : $020103e2 : 33620962 : RC2LimitMaxMinAI60 :
VID : $020103f2 : 33620978 : RC2LimitMaxMinAI61 :
VID : $02010402 : 33620994 : RC2LimitMaxMinAI62 :
VID : $02010412 : 33621010 : RC2LimitMaxMinAI63 :
VID : $02010023 : 33620003 : RC3LimitMaxMinAI0 :
VID : $02010033 : 33620019 : RC3LimitMaxMinAI1 :
VID : $02010043 : 33620035 : RC3LimitMaxMinAI2 :
VID : $02010053 : 33620051 : RC3LimitMaxMinAI3 :
VID : $02010063 : 33620067 : RC3LimitMaxMinAI4 :
VID : $02010073 : 33620083 : RC3LimitMaxMinAI5 :
VID : $02010083 : 33620099 : RC3LimitMaxMinAI6 :
VID : $02010093 : 33620115 : RC3LimitMaxMinAI7 :
VID : $020100a3 : 33620131 : RC3LimitMaxMinAI8 :
VID : $020100b3 : 33620147 : RC3LimitMaxMinAI9 :
VID : $020100c3 : 33620163 : RC3LimitMaxMinAI10 :
VID : $020100d3 : 33620179 : RC3LimitMaxMinAI11 :
VID : $020100e3 : 33620195 : RC3LimitMaxMinAI12 :
VID : $020100f3 : 33620211 : RC3LimitMaxMinAI13 :
VID : $02010103 : 33620227 : RC3LimitMaxMinAI14 :
VID : $02010113 : 33620243 : RC3LimitMaxMinAI15 :
VID : $02010123 : 33620259 : RC3LimitMaxMinAI16 :
VID : $02010133 : 33620275 : RC3LimitMaxMinAI17 :
VID : $02010143 : 33620291 : RC3LimitMaxMinAI18 :
VID : $02010153 : 33620307 : RC3LimitMaxMinAI19 :
VID : $02010163 : 33620323 : RC3LimitMaxMinAI20 :
VID : $02010173 : 33620339 : RC3LimitMaxMinAI21 :
VID : $02010183 : 33620355 : RC3LimitMaxMinAI22 :
VID : $02010193 : 33620371 : RC3LimitMaxMinAI23 :
VID : $020101a3 : 33620387 : RC3LimitMaxMinAI24 :
VID : $020101b3 : 33620403 : RC3LimitMaxMinAI25 :
VID : $020101c3 : 33620419 : RC3LimitMaxMinAI26 :
VID : $020101d3 : 33620435 : RC3LimitMaxMinAI27 :
VID : $020101e3 : 33620451 : RC3LimitMaxMinAI28 :
VID : $020101f3 : 33620467 : RC3LimitMaxMinAI29 :
VID : $02010203 : 33620483 : RC3LimitMaxMinAI30 :
VID : $02010213 : 33620499 : RC3LimitMaxMinAI31 :
VID : $02010223 : 33620515 : RC3LimitMaxMinAI32 :
VID : $02010233 : 33620531 : RC3LimitMaxMinAI33 :
VID : $02010243 : 33620547 : RC3LimitMaxMinAI34 :
VID : $02010253 : 33620563 : RC3LimitMaxMinAI35 :
VID : $02010263 : 33620579 : RC3LimitMaxMinAI36 :
VID : $02010273 : 33620595 : RC3LimitMaxMinAI37 :
VID : $02010283 : 33620611 : RC3LimitMaxMinAI38 :
VID : $02010293 : 33620627 : RC3LimitMaxMinAI39 :
VID : $020102a3 : 33620643 : RC3LimitMaxMinAI40 :
VID : $020102b3 : 33620659 : RC3LimitMaxMinAI41 :
VID : $020102c3 : 33620675 : RC3LimitMaxMinAI42 :
VID : $020102d3 : 33620691 : RC3LimitMaxMinAI43 :
VID : $020102e3 : 33620707 : RC3LimitMaxMinAI44 :
VID : $020102f3 : 33620723 : RC3LimitMaxMinAI45 :
VID : $02010303 : 33620739 : RC3LimitMaxMinAI46 :
VID : $02010313 : 33620755 : RC3LimitMaxMinAI47 :
VID : $02010323 : 33620771 : RC3LimitMaxMinAI48 :
VID : $02010333 : 33620787 : RC3LimitMaxMinAI49 :
VID : $02010343 : 33620803 : RC3LimitMaxMinAI50 :
VID : $02010353 : 33620819 : RC3LimitMaxMinAI51 :
VID : $02010363 : 33620835 : RC3LimitMaxMinAI52 :
VID : $02010373 : 33620851 : RC3LimitMaxMinAI53 :
VID : $02010383 : 33620867 : RC3LimitMaxMinAI54 :
VID : $02010393 : 33620883 : RC3LimitMaxMinAI55 :
VID : $020103a3 : 33620899 : RC3LimitMaxMinAI56 :
VID : $020103b3 : 33620915 : RC3LimitMaxMinAI57 :
VID : $020103c3 : 33620931 : RC3LimitMaxMinAI58 :
VID : $020103d3 : 33620947 : RC3LimitMaxMinAI59 :
VID : $020103e3 : 33620963 : RC3LimitMaxMinAI60 :
VID : $020103f3 : 33620979 : RC3LimitMaxMinAI61 :
VID : $02010403 : 33620995 : RC3LimitMaxMinAI62 :
VID : $02010413 : 33621011 : RC3LimitMaxMinAI63 :
VID : $02010024 : 33620004 : RC4LimitMaxMinAI0 :
VID : $02010034 : 33620020 : RC4LimitMaxMinAI1 :
VID : $02010044 : 33620036 : RC4LimitMaxMinAI2 :
VID : $02010054 : 33620052 : RC4LimitMaxMinAI3 :
